event_id,alert_time,alert_type,score,event_window_start,failure_time,lead_time_to_failure_minutes,config_label,approach,model,feature_set,neg_pos_ratio,threshold,sampling_strategy
7,2018-07-25 13:50:00,correct_alert,0.16201262650366105,2018-07-25 13:00:00,2018-07-25 14:00:00,10.0,ml_no_undersampling model: random_forest + E_low_corr | ratio=None | threshold=0.16,ml_no_undersampling,random_forest,E_low_corr,,0.16,no_undersampling
6,2018-07-07 18:35:00,false_alert_before_event_window,0.30579734186548096,2018-07-07 23:11:00,2018-07-08 00:11:00,336.0,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
6,2018-07-08 00:10:00,correct_alert,0.32178781627965813,2018-07-07 23:11:00,2018-07-08 00:11:00,1.0,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
6,2018-07-08 01:10:00,false_alert_after_failure,0.2839167791070193,2018-07-07 23:11:00,2018-07-08 00:11:00,-59.0,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
7,2018-07-25 07:11:00,false_alert_before_event_window,0.3005313257585131,2018-07-25 13:00:00,2018-07-25 14:00:00,409.0,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
7,2018-07-25 08:28:00,false_alert_before_event_window,0.2870843088905846,2018-07-25 13:00:00,2018-07-25 14:00:00,332.0,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
7,2018-07-25 09:33:00,false_alert_before_event_window,0.2805163112038221,2018-07-25 13:00:00,2018-07-25 14:00:00,267.0,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
7,2018-07-25 10:36:00,false_alert_before_event_window,0.2853740507781881,2018-07-25 13:00:00,2018-07-25 14:00:00,204.0,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
7,2018-07-25 13:30:00,correct_alert,0.29581604914634185,2018-07-25 13:00:00,2018-07-25 14:00:00,30.0,ml_undersampling model: random_forest + E_low_corr | ratio=10.0 | threshold=0.28,ml_undersampling,random_forest,E_low_corr,10.0,0.28,external_undersampling
6,2018-07-07 18:31:00,false_alert_before_event_window,0.45879481467023553,2018-07-07 23:11:00,2018-07-08 00:11:00,340.0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
6,2018-07-07 23:13:00,correct_alert,0.4675499394151049,2018-07-07 23:11:00,2018-07-08 00:11:00,58.0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
6,2018-07-08 00:53:00,false_alert_after_failure,0.5032625847655865,2018-07-07 23:11:00,2018-07-08 00:11:00,-42.0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
7,2018-07-25 07:39:00,false_alert_before_event_window,0.454872933370657,2018-07-25 13:00:00,2018-07-25 14:00:00,381.0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
7,2018-07-25 08:52:00,false_alert_before_event_window,0.4513862638021419,2018-07-25 13:00:00,2018-07-25 14:00:00,308.0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
7,2018-07-25 09:52:00,false_alert_before_event_window,0.49848278568639115,2018-07-25 13:00:00,2018-07-25 14:00:00,248.0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
7,2018-07-25 10:58:00,false_alert_before_event_window,0.47352970418205753,2018-07-25 13:00:00,2018-07-25 14:00:00,182.0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
7,2018-07-25 11:58:00,false_alert_before_event_window,0.4642577459359084,2018-07-25 13:00:00,2018-07-25 14:00:00,122.0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
7,2018-07-25 13:57:00,correct_alert,0.45192707063761295,2018-07-25 13:00:00,2018-07-25 14:00:00,3.0,ml_no_undersampling model: easy_ensemble + E_low_corr | ratio=None | threshold=0.45,ml_no_undersampling,easy_ensemble,E_low_corr,,0.45,no_undersampling
6,2018-07-08 00:53:00,false_alert_after_failure,0.9805273197476096,2018-07-07 23:11:00,2018-07-08 00:11:00,-42.0,ml_undersampling model: linear_svc + E_low_corr | ratio=20.0 | threshold=0.47,ml_undersampling,linear_svc,E_low_corr,20.0,0.47,external_undersampling
7,2018-07-25 13:54:00,correct_alert,1.6934472262624867,2018-07-25 13:00:00,2018-07-25 14:00:00,6.0,ml_undersampling model: linear_svc + E_low_corr | ratio=20.0 | threshold=0.47,ml_undersampling,linear_svc,E_low_corr,20.0,0.47,external_undersampling
6,2018-07-08 00:53:00,false_alert_after_failure,0.9925891757011414,2018-07-07 23:11:00,2018-07-08 00:11:00,-42.0,nn_undersampling model: mlp_pca + E_low_corr | ratio=20.0 | threshold=0.95,nn_undersampling,mlp_pca,E_low_corr,20.0,0.95,external_undersampling
7,2018-07-25 13:54:00,correct_alert,0.9916515350341797,2018-07-25 13:00:00,2018-07-25 14:00:00,6.0,nn_undersampling model: mlp_pca + E_low_corr | ratio=20.0 | threshold=0.95,nn_undersampling,mlp_pca,E_low_corr,20.0,0.95,external_undersampling
6,2018-07-08 00:04:00,correct_alert,0.9999998807907104,2018-07-07 23:11:00,2018-07-08 00:11:00,7.0,nn_undersampling model: mlp_pca + B_raw_plus_missing | ratio=10.0 | threshold=0.96,nn_undersampling,mlp_pca,B_raw_plus_missing,10.0,0.96,external_undersampling
6,2018-07-08 01:06:00,false_alert_after_failure,0.9600921273231506,2018-07-07 23:11:00,2018-07-08 00:11:00,-55.0,nn_undersampling model: mlp_pca + B_raw_plus_missing | ratio=10.0 | threshold=0.96,nn_undersampling,mlp_pca,B_raw_plus_missing,10.0,0.96,external_undersampling
